ticker,timestamp,open,high,low,close,volume,bu,sd,fb,fs,fn
A32,2025-07-21 00:00,39500.0,39500.0,39500.0,39500.0,100.0,100.0,0.0,0.0,0.0,0.0
A32,2025-07-22 00:00,39500.0,39500.0,39500.0,39500.0,0.0,0.0,0.0,0.0,0.0,0.0
A32,2025-07-23 00:00,39500.0,39500.0,39500.0,39500.0,0.0,0.0,0.0,0.0,0.0,0.0
A32,2025-07-24 00:00,39500.0,39500.0,39500.0,39500.0,100.0,0.0,100.0,0.0,0.0,0.0
A32,2025-07-25 00:00,39500.0,39500.0,39500.0,39500.0,0.0,0.0,0.0,0.0,0.0,0.0
A32,2025-07-28 00:00,39500.0,39500.0,39500.0,39500.0,0.0,0.0,0.0,0.0,0.0,0.0
A32,2025-07-29 00:00,39500.0,39500.0,39500.0,39500.0,0.0,0.0,0.0,0.0,0.0,0.0
A32,2025-07-30 00:00,35000.0,35100.0,35000.0,35080.0,500.0,0.0,500.0,0.0,0.0,0.0
A32,2025-07-31 00:00,35300.0,35300.0,35300.0,35300.0,100.0,0.0,100.0,0.0,0.0,0.0
A32,2025-08-01 00:00,35200.0,35500.0,35200.0,35275.0,400.0,0.0,400.0,0.0,0.0,0.0
A32,2025-08-04 00:00,35200.0,35200.0,35200.0,35200.0,200.0,0.0,200.0,0.0,0.0,0.0
A32,2025-08-05 00:00,35200.0,35200.0,35200.0,35200.0,200.0,100.0,100.0,0.0,0.0,0.0
A32,2025-08-06 00:00,35500.0,39300.0,35500.0,37400.0,200.0,100.0,100.0,0.0,0.0,0.0
A32,2025-08-07 00:00,35700.0,35700.0,35700.0,35700.0,100.0,0.0,100.0,0.0,0.0,0.0
A32,2025-08-08 00:00,35700.0,35700.0,35700.0,35700.0,100.0,0.0,100.0,0.0,0.0,0.0
A32,2025-08-11 00:00,36900.0,36900.0,36900.0,36900.0,100.0,100.0,0.0,0.0,0.0,0.0
A32,2025-08-12 00:00,36900.0,36900.0,36900.0,36900.0,100.0,100.0,0.0,0.0,0.0,0.0
A32,2025-08-13 00:00,36900.0,36900.0,36900.0,36900.0,0.0,0.0,0.0,0.0,0.0,0.0
